num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie,,
17,Clint Capela,Big,"6' 10""",7' 5'',240 lbs.,5/18/94,26.4,Elan Chaton (France),7,2014,25,Traded from HOU on 2/5/20,Bird Rights (HOU),Year 2/5 of 5 yr/$80M from 2018 offseason (HOU),16000000,17103448,18206896,27310344,,,"$2.00M annual unlikely incentives ($1M Conference Finals+2k min, $500k 30% DREB%+2k min, $500k 65% FT)",100% C,5,39,0.564,110.0,107.4,2.6,32.8,20.7,0.626,16,2.9,2.1,0.186,1.1,0.4,1.1,14.3,,
14,Dewayne Dedmon,Big,7' 0'',7' 4'',245 lbs.,8/12/89,31.1,USC,8,2013,,Traded from SAC on 2/6/20,Cap Space (SAC),Year 2/3 of 3 yr/$40M from 2019 offseason (SAC),13333333,13333333,20000000,,,,"$300k annual unlikely incentives ($150k for 70 games+48 wins, $150k for second round playoffs)",100% C,5,10,0.400,114.1,112.0,2.1,23.3,11.4,0.463,17.4,-0.2,0.3,0.032,-4.5,0.1,-0.1,7.9,,
12,De'Andre Hunter,Forward,6' 7'',7' 0'',225 lbs.,12/1/97,22.8,Virginia,2,2019,4,2019 Draft (#4 pick),Rookie Scale,Year 2/4 of 4 yr/$32M from 2019 offseason,7422000,7775400,9835881,29507643,,,,"18% SG, 62% SF, 20% PF",3,63,0.302,108.0,113.6,-5.6,32.0,8.6,0.521,17.5,-0.4,0.5,0.001,-2.8,-1.8,-1.4,5.8,,
11,Trae Young,Point,6' 1'',6' 2'',180 lbs.,9/19/98,22.0,Oklahoma,3,2018,5,2018 Draft (#5 pick),Rookie Scale,Year 3/4 of 4 yr/$27M from 2018 offseason,6571800,8326471,24979413,,,,,"89% PG, 3% SG",1,60,0.300,111.2,116.1,-4.9,35.3,23.9,0.595,34.9,5.4,0.5,0.134,6.3,-2.3,3.2,16.0,,
22,Cam Reddish,Wing,6' 8'',7' 1'',218 lbs.,9/1/99,21.1,Duke,2,2019,10,2019 Draft (#10 pick),Rookie Scale,Year 2/4 of 4 yr/$19M from 2019 offseason,4458000,4670160,5954454,17863362,,,,"40% SF, 59% PF, 1% C",4,58,0.293,106.9,113.2,-6.3,26.7,9.0,0.5,18.9,-1.2,0.8,-0.011,-3.2,-1.0,-0.9,5.9,,
20,John Collins,Big,6' 9'',"6' 11""",235 lbs.,9/23/97,23.0,Wake Forest,4,2017,19,2017 Draft (#19 pick),Rookie Scale,Year 4/4 of 4 yr/$11M from 2017 offseason,4137302,12411906,,,,,,"53% PF, 47% C",4,41,0.366,107.0,112.1,-5.1,33.2,23.5,0.659,22.7,3.8,1.1,0.174,3.7,-0.7,1.7,15.2,,
3,Kevin Huerter,Wing,6' 7'',6' 8'',190 lbs.,8/27/98,22.1,Maryland,3,2018,19,2018 Draft (#19 pick),Rookie Scale,Year 3/4 of 4 yr/$12M from 2018 offseason,2761920,4253357,12760071,,,,,"6% PG, 63% SG, 27% SF, 3% PF",2,56,0.339,107.5,113.6,-6.1,31.4,11.5,0.536,17.1,1,0.6,0.042,-0.6,-0.9,0.2,7.8,,
0,Brandon Goodwin,Combo,6' 0'',,180 lbs.,10/2/95,25.0,FGC,3,2018,,Signed on 8/6/19 (two way),Minimum,Year 1/2 of 2 yr/$2M from 19-20 season,1701593,2126991,,,,,,100% PG,1,34,0.382,94.5,108.2,-13.7,12.7,11.7,0.507,22.4,-0.1,0.2,0.013,-1.5,-1.3,-0.1,9.4,,
24,Bruno Fernando,Big,6' 9'',7' 3'',240 lbs.,8/15/98,22.1,Maryland,2,2019,34,2019 Draft (#34 pick),Cap Space,Year 2/3 of 3 yr/$5M from 2019 offseason,1517981,1782621,2288276,,,,,"11% PF, 89% C",5,56,0.321,102.0,107.6,-5.6,12.7,11.9,0.542,15.3,0.4,0.4,0.055,-3.2,-1.0,-0.4,7.9,,
,DEAD MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020 1st (6),,,,,,,,,,,,,,5813640,6104280,6395160,8109063,24327189,,,,,,,,,,,,,,,,,,,,,,
,2020 2nd (50) - MIA,,,,,,,,,,,,,,898310,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,Jeff Teague,Combo,6' 3'',6' 7'',195 lbs.,6/10/88,32.3,Wake Forest,12,2009,19,Traded from MIN on 1/16/20,,,28500000,,,,,,,"39% PG, 60% SG, 1% SF",2,25,0.400,108.2,117.0,-8.8,20.8,12.2,0.512,18.3,0.2,0.2,0.035,-1.6,-1.5,-0.2,8.4,,
95,DeAndre' Bembry,Combo,6' 5'',7' 0'',210 lbs.,7/4/94,26.2,Saint Joseph's,5,2016,21,2016 Draft (#21 pick),,,7811946,,,,,,,"12% PG, 80% SG, 8% SF",2,43,0.233,98.9,110.6,-11.7,21.3,9.6,0.5,14,-0.5,0.7,0.011,-3.5,1.0,-0.1,6.9,,
7,Skal Labissiere,Big,"6' 10""",7' 2'',235 lbs.,3/18/96,24.5,Kentucky,5,2016,28,Traded from POR on 2/6/20,,,7016541,,,,,,,"8% PF, 92% C",5,33,0.424,107.8,106.5,1.3,17.2,15.4,0.588,14.3,1,0.4,0.122,-1.5,0.3,0.1,9.3,,
30,Damian Jones,Big,"6' 11""",7' 4'',245 lbs.,6/30/95,25.2,Vanderbilt ,5,2016,30,Traded from GSW on 7/8/19,,,6915172,,,,,,,"1% PF, 99% C",5,55,0.273,104.7,117.3,-12.6,16.1,15.5,0.712,11.4,2.2,0.6,0.152,-1.6,0.1,0.1,8.0,,
2,Treveon Graham,Forward,6' 5'',"6' 11""",219 lbs.,10/28/93,26.9,VCU,5,2015,,Traded from MIN on 1/16/20,,,1620564,,,,,,,"2% PG, 61% SG, 32% SF, 5% PF",2,22,0.409,108.2,113.3,-5.1,12.1,8.0,0.478,13.3,0,0.1,0.022,-3.2,-1.7,-0.2,3.5,,
4,Charlie Brown Jr.,Wing,6' 6'',6' 7'',199 lbs.,2/2/97,23.7,Saint Joseph's ,2,2019,,Signed on 7/1/19 (two way),,,,,,,,,,"10% PG, 57% SG, 33% SF",2,10,0.100,106.9,73.0,33.9,4.0,11.1,0.472,25.1,0,0,-0.028,-1.1,-1.4,0.0,7.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10/15/20,23.96,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22.80,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roster Info,,,,,,,,,,,,,,62115976,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guaranteed Contracts,8,,,,,,,,,,,,,63717569,,,,,,,,,,,,,,,,,,,,,,,,,,
,NG Contracts / PO's,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Draft Picks,2,,,,,,,,,,,,Salary Cap,109140000,,,,,,,,,,,,,,,,,,,,,,,,,,
,Projected Exceptions,"Room Exception ($4,767,000)",,,,,,,,,,,,Luxury Tax,132627000,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Paid,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Received,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-20 Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winning Percentage,0.299,14th in East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Offensive Rating,107.0,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defensive Rating,114.4,28th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Rating,-7.4,28th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pace,103.28,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incoming Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd from Miami (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2022 1st from Oklahoma City (protected 1-14, if not conveyed becomes 2024 and 2025 2nds)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2023 2nd from Charlotte / Brooklyn (receives second most favorable of the three picks, including their own)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2023 2nd from New Orleans (protected 31-45, if not conveyed obligation extinguished)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024 2nd from Miami (protected 31-50 and 56-60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025 2nd from Brooklyn (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026 2nd from Golden State (unprotected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outgoing Picks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 2nd to Brooklyn (for sure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022 2nd to LA Clippers (protected 31-55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024 2nd to Portland (protected 31-55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Historical Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-2020,20,47,14th in East,,Lloyd Pierce,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-2019,29,53,12th in East,,Lloyd Pierce,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-2018,24,58,15th in East,,Mike Buzenholzer,,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-2017,43,39,5th in East,,Mike Buzenholzer,,Lost to WSH in first round (4-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-2016,48,34,4th in East,,Mike Buzenholzer,,"Beat BOS in first round (4-2), lost to CLE in semifinals (4-0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-2015,60,22,1st in East,,Mike Buzenholzer,,"Beat BKN in first round (4-2), beat WSH in semifinals (4-2), lost to CLE in ECF (4-0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013-2014,38,44,8th in East,,Mike Buzenholzer,,Lost to IND in first round (4-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012-2013,44,38,6th in East,,Larry Drew,,Lost to IND in first round (4-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011-2012,40,26,5th in East,,Larry Drew,,Lost to BOS in fiirst round (4-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-2011,44,38,5th in East,,Larry Drew,,"Beat ORL in first round (4-2), lost to CHI in semifinals (4-2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Year Record,390,399,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,